WORD	ANG. SPEL.	MEANING	KIND	FOREBEAR	WHENCE	NOTES
alseeing		᛫ omnipercipient ᛫	AJ	allseeing	NE	
alsuch	alsuc	᛫ exactly ᛫ just ᛫ exactly as ᛫ just as ᛫	AV	alswich	ME	
altew	alteƿ	᛫ sound ᛫ healthy ᛫	AJ	æltæw/ealteaw	OE	
altheedish	alþeedisc	᛫ international ᛫	AJ	all+theedish	NE×2	inspired by Icelandic "alþjóðlegur"
alther	alþer	᛫ ( modifies an adjective's superlative form in a way similar to the " very " in " very best " ) ᛫	PREFIX	alther	ME	or: alder, aller
altogether	altogeþer	᛫ completely ᛫ totally ᛫ in total ᛫ in general ᛫ for the most part ᛫ overall ᛫	AV	altogether	NE	
alway	alƿay	᛫ perpetually ᛫ continually ᛫	AV	~[ealneg]	OE	or: always
alwhere	alhƿere	᛫ everywhere ᛫	AV	~	NE	[MW]
amain		᛫ with all one's might ᛫ with full speed ᛫ in great haste ᛫ to a high degree ᛫	AV	~	NE	
amake		᛫ a mate ᛫ a spouse ᛫ a pair ᛫ an equal ᛫	N	imāke[gemaca]	ME	
amaze	amase	᛫ to astonish ᛫	V	~	NE	
amazedness	amasedness	᛫ amazement ᛫	N	~	NE	
amber		᛫ a bucket ᛫	N	ambre[amphora?]	ME‹OE‹I	
amid		᛫ during ᛬ in the middle of ᛫	AV᛬P	~	NE	
amind		᛫ memory ᛫ a memory ᛫ a recollection ᛫	N	imīnde[gemynd]	ME	
amind day		᛫ a commemoration day ᛫	N	gemynd dæg	OE	
amiss		᛫ faulty ᛫ out of order ᛫ improper ᛫	AJ	~	NE	
amone		᛫ social intercourse ᛫ sexual intercourse ᛫	N	imōne[gemāna]	ME	
anclee		᛫ an ankle ᛫	N	~	ME	overtaken by Norse form 'ankle' during ME
and		᛫ an ampersand ( & or ⁊ ) ᛫	N	and	ME	or: andstaff
and		᛫ ( shows return action ) ᛫	PREFIX	and/an	ME	the D gets dropped when convenient, making it "an-"
and so forth	forþ	᛫ et cetera ᛫	N	~	NE	abbreviation: asf
andestone		᛫ andesite ᛫	N	Andes+stone	NE‹I+NE	calque: andesite
andet		᛫ to confess ᛫	V	andettan	OE	
andetter		᛫ a confessor ᛫	N	andettere	OE	
andeven	andefen	᛫ a quality ᛫ a quantity ᛫ an extent ᛫ a capacity ᛫ an amount ᛫ a proportion ᛫	N	andefn	OE	
aneed		᛫ to compel ᛫ to force ᛫	V	inēden[genēadian]	ME	
anent		᛫ about ᛫ concerning ᛫	P	~	NE	[MW]
anew	aneƿ	᛫ to restore to an original state ᛫	V	ineuen	ME	
ang		᛫ angry ᛫ vexed ᛫	AJ	ange	OE	
ang		᛫ ( shows an ailment of a tight vexed nature ) ᛫	PREFIX	ang	OE	
angbreast		᛫ a tight vexation of the breast ᛫ asthma ᛫	N	angbreost	OE	
angmood		᛫ anxiety ᛫ a vexed mood ᛫	N	angmod	OE	
angness		᛫ anxiety ᛫ distress ᛫	N	angnes	OE	
angsome	andsum	᛫ troublesome ᛫	AJ	angsum	OE	
anight	anigt	᛫ abundance ᛫ sufficiency ᛫ plenty ᛫	N	genyht	OE	
anip		᛫ clouds ᛫ mist ᛫ fog ᛫ vapor ᛫ obscurity ᛫ a nebula [ᚹ] ᛫	N	inip&genip	ME&OE	kin: nebula
anker		᛫ an anchorite ᛫ an anchoret ᛫	N	āncor	OE‹I‹H	
anklebone	ankelbone	᛫ a tarsal ᛫	N	~	NE‹(N+E)	or: ancleebone
anlet		᛫ a face ᛫ an appearance ᛫	N	anlē̆t[andwlita/andwlite]	ME	
anletbone		᛫ a facial bone ᛫	N	anlet+bone	ME+NE	
anlikeness		᛫ an image ᛫ a figure ᛫ resemblance ᛫ a model ᛫	N	anlīcnes	OE	
anneal	aneal	᛫ to ignite ᛫ to inflame ᛫ to incite ᛫ to temper through heating ᛫	V	anneal&onǣlan	NE&OE	
anon		᛫ instantly ᛫ immediately ᛫	AV	~[anōn][on ān]	NE	rhyme: a swan
anothergates	anoþergates	᛫ a different kind of ᛫	AJ	~	NE	"gate" here means "way"
anqueath	ancƿeaþ	᛫ a response ᛫ an answer ᛫ a reply ᛬ to respond ᛫ to answer ᛫ to reply ᛫	N᛬V	oncweþan	OE	
ansaker		᛫ a denier ᛫ a renouncer ᛫ an apostate ᛫ an opposer ᛫	N	andsaca	OE	
ansen		᛫ a face ᛫ a countenance ᛫ an aspect ᛫ a form ᛫ a figure ᛫ an appearance ᛫	N	ansẹ̄ne[ansȳn]	ME	
ansenstone		᛫ a fossil ᛫	N	ansẹ̄ne+stone	ME+NE	calque: steingervingur
anshot	anscot	᛫ a tax rebate ᛫ a tax return ᛫	N	and+scot	OE+OE	equal to: return tax
antimber		᛫ matter ( mass noun ) ᛫ material ( mass noun ) ᛫ substance ( mass noun ) ᛫ a theme ? ᛫ a topic ? ᛫ a subject ? ᛫	N	antimber&andtimber	ME&OE	
anvil	anfil	᛫ an incus ( bone ) ᛫	N	~	NE	
anward	anƿard	᛫ present ᛫ current ᛫ contemporary ᛫ in one's presence ᛫	AJ	andweard	OE	
anward tide	anƿard	᛫ the present tense ᛬ of the present tense ᛫	N᛬AJ	andwerd tīd	OE	
anwarden	anƿarden	᛫ to make present ᛫ to update ᛫ to modernize ᛫	V	andward+en	OE+NE	
anwardening	anƿardening	᛫ an update ᛫ modernization ᛫	N	andward+en+ing	OE+NE×2	
anword	anƿord	᛫ an answer ᛬ to answer ᛫	V	andwurden&andwyrde	ME&OE	
anwork	anƿork	᛫ matter ᛫ material ᛫ substance ᛫	N	andwork	ME	
anyet		᛫ perception ᛫ sensation ᛫ understanding ᛫ a sense ( such as sight ) ᛫ an explanation ᛫ sense ( like in makes sense ) ᛫	N	andȝet&andgit	ME&OE	or: anget (Norse)
anyetful		᛫ sensible ᛫ intelligible ᛫	AJ	andgitfull 	OE	
anyetfully		᛫ sensibly ᛫ intelligibly ᛫	AJ	andgitfullīce	OE	
anyetless		᛫ senseless ( as in lacking sensation ) ᛫ senseless ( as in irrational , nonsensical , or foolish ) ᛫	AJ	andgitlēas	OE	
anyettle	anyettel	᛫ intelligent ᛫ sensible ᛫ discerning ᛫	AJ	andgitol/andgyttol	OE	
anyetty		᛫ sensational ( as in sensory ) ᛫ sensible ᛫	AJ	andȝet+y{andgitlic}	ME+NE	
anywise	anyƿise	᛫ in any way or manner ᛫	AV	~	NE	
ape		᛫ an ape ᛫ a monkey ᛬ to imitate ᛫	N᛬V	~	NE	
apebreadtree		᛫ a baobab ᛫	N	ape+bread+tree	NE×3	calque: monkeybread tree ᛫ note: apenbroodboom
apely		᛫ simian ᛫	AJ	~	NE	
aper		᛫ a copycat ᛫ an imitator ᛫	N	~	NE	
applewine	appelƿine	᛫ apple cider ᛫	N	æppelwīn	OE	
aquine	acƿine	᛫ to dwindle away ? ᛫	V	acwīnan	OE	
Araby		᛫ Arabia ᛫	N(P)	Arabī[Arabia]	ME‹OE‹O	
arade		᛫ instructed ᛫ skilled ᛫ expert ᛫ educated ᛫	AJ	irade[gerād]	ME	
ard		᛫ a dwelling place ( especially one's native land or region ) ᛫ a home ᛫ a homeland ᛫ an abode ᛫	N	ē̆rd	ME	
aread		᛫ to guess ᛫ to conjecture ᛫ to form or render an opinion ᛫ to estimate ᛫ to interpret ᛫	V	aread&arēden[ārǣdan]	NE&ME	[MW]
areading		᛫ an ordinance ᛫ a decree ᛫	N	gerǣdnes	OE	
arear		᛫ to construct ᛫ to establish ᛫ to levy ( troops , taxes , etc ) ᛫	V	areren	ME	
argh	arg	᛫ timid ᛫ cowardly ᛫ pusillanimous ᛫	AJ	argh/arow[earg]	ME	[OED] ᛫ rhyme: scarf ᛫ or: arf; arch (Scots)
arghness	argness	᛫ cowardice ᛫	N	arghnes	ME	or: arfness
arise		᛫ to emerge ᛫ to become apparent ᛫ to come into being ᛫	V	~	NE	
arisen		᛫ proper ᛫ fitting ᛫ seemly ᛫	AJ	gerisene	OE	
arist		᛫ an arising ᛫ the rising of the sun ᛫	N	arist	ME	
arkenstone		᛫ a precious stone ᛫ a jewel ᛫	N	eorcanstān	OE	kin: Eorconbeorht
arm		᛫ poor ᛫ unwealthy ᛫ pitiful ᛫ indigent ᛫	AJ	arm[earm]	ME	
armbigh	armbige	᛫ a bracelet for wearing on an arm ᛫ an armlet ᛫	N	earmbēah	OE	
armbone		᛫ a humerus ᛫	N	~	NE	
armchary	armcary	᛫ sad ᛫ miserable ᛫	AJ	earmcearig	OE	
Armeny		᛫ Armenia ᛫	N(P)	armenīe/armany/armonye	ME	or: Hayastan ᛫ should rhyme with "harmony"?
arming		᛫ a poor creature ᛫ a wretch ᛫	N	erming	ME	
armth	armþ	᛫ poverty ᛫	N	ermthe/armþe	ME	
arown	arune	᛫ a mystery ᛫ a sacrament ᛫ mysterium ᛫	N	gerȳne	OE	
arrowblaster	arroƿblaster	᛫ an arbalest ᛫	N	arowblaster{arbalest}	ME	a medieval folk etymology of arbalest
arse		᛫ a derrière ᛫ a posterior ᛫	N	~	NE	or: ass
arsefoot		᛫ a Podicipedidae bird ( a grebe ) ᛫	N	~	NE	
arseling		᛫ backwards ᛫	AV	~	NE	
arsetril		᛫ an anus ᛫	N	earsþerl	OE	
arveth	arfeþ	᛫ difficult ᛫	AJ	arveþ[earfoþ]	ME	
arveth	arfeþ	᛫ ( shows something is difficult to do or deal with ) ᛫	PREFIX	earfoþ	OE	
arvethhield	arfeþheeld	᛫ ill-inclined ᛫ ill-natured ᛫	AJ	earfoþhylde	OE	
arvethly	arfeþly	᛫ with difficulty ᛫	AJ	arveþlīch	ME	
arvethness	arfeþness	᛫ toil ᛫ hardship ᛫	N	earfoþnes	OE	
arvethright	arfeþrigt	᛫ hard to correct ᛫	AJ	earfoþrihte	OE	
arvethrow	arfeþþroƿ	᛫ a difficult time ᛫ a time of tribulation ᛫	N	earfoþþrāg	OE	
arvethsithe	arfeþsiþe	᛫ a laborious journey ᛫ misfortune ᛫ calamity ᛫	N	earfoþsīþ	OE	
arvethteachy	arfeþteacy	᛫ difficult to show ᛫ difficult to prove ᛫	AJ	earfoþtǣcne	OE	
as an aside		᛫ in passing ᛫ en passant ᛫	PHRASE	~	NE×3	
aseen		᛫ evident ᛫ visible ᛫ apparent ᛫	AJ	isẹ̄n	ME	
aset		᛫ to appoint ᛫	V	aset	ME	
Asey		᛫ Asia ᛫	N(P)	Assye [Asia]	ME‹O	rhyme: crazy
ashen	ascen	᛫ made from the ash tree ᛫ of or resembling ashes ᛫ pale ᛫	AJ	~	NE	
ashgrey	ascgrey	᛫ cinereous ᛫	AJ	ash+grey	NE×2	invented by William Barnes
aside		᛫ a digression ᛫	N	~	NE	[OXF]
asit		᛫ to oppress ᛫ to occupy ᛫	V	asitten&onsittan	ME&OE	PST: asat
asithe	asiþe	᛫ a comrade ᛫	N	gesīþ	OE	
ask		᛫ a lizard ᛫	N	~	NE	
ask		᛫ a question ᛫ an inquiry ᛫ a request ᛬ to request ᛫ to inquire ᛫	N᛬V	~	NE	
askeel		᛫ a Halosauridae fish ( a halosaur ) ᛫	N	ask+eel	NE×2	calque: Echsenaale
asker		᛫ a plaintiff ᛫ a prosecutor ᛫ a claimant ᛫	N	askere	ME	[OED]
asking		᛫ questioning ᛫ inquiry ᛫ querying ᛫ petitioning ᛫ requesting ᛫ petition ᛫	N	asking&asking	NE&ME	
askingly		᛫ interrogative ( grammar ) ᛫	AJ	āsciendlīc	OE	from Ælfric's Grammar
aslake		᛫ to abate ᛫ to diminish ᛫ to moderate ᛫ to mitigate ᛫ to appease ᛫ to satisfy ᛫	V	~[āslacian]	NE	
asoothe	asooþe	᛫ to prove ᛫ to confirm ᛫ to verify ᛫	V	isōþien[gesōþian]	OE	
aspen		᛫ a Populus tree [ᚹ] ᛫ a poplar ᛫ a cottonwood ᛫ an aspen ᛫	N	~	NE	
astell		᛫ to install ᛫ to establish ᛫ to found ᛫ to institute ᛫	V	onstellen&onstellan	ME&OE	
astir		᛫ to activate ᛫ to put in motion ᛬ active ᛫ in motion ᛫	AJ	astir&astiren	NE&ME	
astride		᛫ with legs on each side ᛬ with legs on each side of ᛫	AV᛬P	~	NE	
asunder		᛫ apart ᛫	AV	~	NE	
asunderhood		᛫ segregation ᛫ apartheid ᛫	N	asunder+hood	NE×2 	calque: apartheid
asweeve	asƿeef	᛫ to calm down ᛫ to lull ᛫ to pacify ᛫ to appease ᛫ to put to rest ᛫ to soothe ᛫	V	aswēve&aswebban	ME&OE	
at a braid		᛫ in a moment ᛫ momentarily ᛫	AV	at a breid	ME	phrase
at unset steven	stefen	᛫ unexpectedly ᛬ by chance ᛫	AV	at unset steven	ME	rhyme: seven
atbraidingly		᛫ ablative ( grammar ) ᛫	AJ	ætbregdendlīc	OE	from Ælfric's Grammar
atburst		᛫ to break away ᛫ to escape ᛫	V	atbresten[ætberstan]	ME	brest became burst
atease		᛫ to tear ᛫ to tease ( as in to pull apart ) ᛫	V	ātǣsan	OE	kin: tease
atell		᛫ number ( grammatical term ) ᛫ a register ᛫ a catalogue ᛫ a catalog ᛬ to register ᛫ to catalog ᛫ to catalogue ᛫	N	ȝetel&getæl/getel	ME&OE	
atew	ateƿ	᛫ to appear ᛫ to display ᛫ to manifest ᛫	V	atẹ̄wien{ēowan}	ME	kin: eye
atfang		᛫ to claim lost or stolen property ᛫	V	ætfōn{fang}	OE	
atgo		᛫ to go away ᛫ to pass away ᛫	V	atgon	ME	
Athabasca Mere	Aþabasca	᛫ Lake Athabasca ᛫	N(P)	Athabasca+mere	NE‹O+NE	
athel	aþel	᛫ a noble ᛬ noble ᛫	N᛬AJ	aþel	ME	
athelborn	aþelborn	᛫ nobleborn ᛫ highborn ᛫	AJ	aþelborn	ME	
athelen	aþelen	᛫ to ennoble ᛫	V	æþelian+en	OE+NE	
atheling	aþeling	᛫ a noble ᛫ a prince ᛫	N	atheling[æþeling]	ME	
athelingen	aþelingen	᛫ a princess ᛫	N	æþeling+en	OE+NE	a more historically sound term for "princess" is simply "lady"
athelkind	aþelkind	᛫ of noble kind or origin ᛫	AJ	æþelcund	OE	
athelly	aþelly	᛫ nobly ᛫ elegantly ᛫	AV	æþellīce	OE	
athelman	aþelman	᛫ a nobleman ᛫	N	athelman	ME	
athelness	aþelness	᛫ nobility ᛫	N	æþelnes	OE	
athelwhite	aþelhƿite	᛫ a Leontopodium alpinum plant ᛫ edelweiss ᛫	N	aþel+white	ME+NE 	calque: Edelweiß
athelwield	aþelƿeeld	᛫ aristocracy ( the political system ) ᛫	N	athel+wield	NE	
atithe	atiþe	᛫ to grant ᛫ to allow ᛫	V	itīthien[getigþian]	ME	
atlast		᛫ finally ᛫ ultimately ᛫	AV	~	NE	
atle	atel	᛫ terrible ᛫ horrible ᛫ dire ᛫ repulsive ᛫ ugly ᛫ hideous ᛫	AJ	ātel[atol]	ME	
atley	ately	᛫ hideous ᛫ ugly ᛫	AJ	atelīch[atollīc]	ME	
atone		᛫ to make amends ᛫	V	~	NE	equal to: at one
atsammen		᛫ together ᛫	AV	atsomne[ætsomne]	ME	
atsit		᛫ to resist ᛫ to oppose ᛫	V	atsitten	ME	
atstall		᛫ a station ᛫ a camp ᛫	N	ætsteall	OE	
atter		᛫ poison ᛫ venom ᛫ pus ᛬ to poison ᛫ to envenom ᛫	N	atter&ǣtrian	NE&OE	
